scientific_name,common_name,family,growth_form,nativity,usda_plants_symbol,is_favorite,notes
Quercus stellata,Post Oak,Fagaceae,tree,native,QUST,1,foundation canopy; upland
Quercus macrocarpa,Bur Oak,Fagaceae,tree,native,QUMA2,1,foundation canopy; deep-soil flats
Quercus fusiformis,Plateau Live Oak,Fagaceae,tree,native,QUFU,1,signature tree; on-site mother trees; sow acorns fresh
Quercus muehlenbergii,Chinkapin Oak,Fagaceae,tree,native,QUMU,1,limestone canopy oak
Ulmus crassifolia,Cedar Elm,Ulmaceae,tree,native,ULCR,1,shelterbelt backbone; fall samaras sow fresh
Carya illinoinensis,Pecan,Juglandaceae,tree,native,CAIL2,1,riparian; bottomland
Taxodium distichum,Bald Cypress,Cupressaceae,tree,native,TADI2,1,river anchor; leads the propagation bench
Celtis laevigata var. laevigata,Sugarberry,Cannabaceae,tree,native,CELA,1,wildlife tree; bottomland
Celtis laevigata var. reticulata,Netleaf Hackberry,Cannabaceae,tree,native,CELAR,1,wildlife tree; drier ground
Prunus serotina var. eximia,Escarpment Black Cherry,Rosaceae,tree,native,PRSEE,1,wildlife tree; Edwards Plateau variety
Prunus mexicana,Mexican Plum,Rosaceae,tree,native,PRME,1,early nectar; wildlife
Diospyros texana,Texas Persimmon,Ebenaceae,tree,native,DITE3,1,tough small tree; wildlife fruit
Acer grandidentatum,Bigtooth Maple,Sapindaceae,tree,native,ACGR3,1,specialty planting; fall color
Arbutus xalapensis,Texas Madrone,Ericaceae,tree,native,ARXA80,1,specialty planting; difficult from seed
Mahonia trifoliolata,Agarita,Berberidaceae,shrub,native,MATR3,1,quail cover; early nectar
Forestiera pubescens,Elbowbush,Oleaceae,shrub,native,FOPU2,1,earliest nectar; thicket former
Rhus aromatica,Fragrant Sumac,Anacardiaceae,shrub,native,RHAR4,1,low cover; wildlife
Rhus lanceolata,Flameleaf Sumac,Anacardiaceae,shrub,native,RHLA3,1,thicket former; winter bird food
Prunus angustifolia,Chickasaw Plum,Rosaceae,shrub,native,PRAN3,1,thicket former; nesting cover
Vitis mustangensis,Mustang Grape,Vitaceae,vine,native,VIMU,1,the correct Hill Country native grape
Ilex vomitoria,Yaupon Holly,Aquifoliaceae,shrub,native,ILVO,1,evergreen cover; winter berries
Populus deltoides,Eastern Cottonwood,Salicaceae,tree,native,PODE3,1,riparian pioneer; easy cutting candidate
Salix nigra,Black Willow,Salicaceae,tree,native,SANI,1,riparian pioneer; easy cutting candidate
Platanus occidentalis var. glabrata,Texas Sycamore,Platanaceae,tree,native,PLOCG,1,riparian canopy
Ilex decidua,Possumhaw Holly,Aquifoliaceae,shrub,native,ILDE,1,winter berries; wet-tolerant
Cercis canadensis var. texensis,Texas Redbud,Fabaceae,tree,native,CECAT,1,understory; early bloom
Cephalanthus occidentalis,Buttonbush,Rubiaceae,shrub,native,CEOC2,1,wetland pocket rim; pollinator shrub
Schizachyrium scoparium,Little Bluestem,Poaceae,graminoid,native,SCSC,1,backbone bunchgrass; 15% of PUB drill mix
Andropogon gerardii,Big Bluestem,Poaceae,graminoid,native,ANGE,1,tallgrass signature; 10% of mix
Panicum virgatum,Switchgrass,Poaceae,graminoid,native,PAVI2,1,floodplain; regional ecotype not biomass cultivars
